Procesos,Delta,Tiempo
2,32,0.0719201
2,16,0.260552
2,8,1.99375
2,4,14.7876
2,2,113.211
2,1,887.39
4,32,0.0424568
4,16,0.264295
4,8,1.14156
4,4,7.81022
4,2,58.4309
4,1,453.73
8,32,0.0925316
8,16,0.158463
8,8,0.995393
8,4,5.73909
8,2,52.3985
8,1,303.264
16,32,0.147775
16,16,0.112883
16,8,0.761617
16,4,3.93826
16,2,28.127
16,1,231.644
32,32,0.762312
32,16,0.799925
32,8,1.13421
32,4,5.47643
32,2,31.797
32,1,263.629
